S.no,Clean_Text
0,
1,I will play cricket with my friends tomorrow
2,I went to my grand mother's funeral that day
3,I am truly happy that I got into harvard
4,Tomorrow my results will be announced I don?t know what to do
5,I really missed you these past years
6,I fell in love with this girl next door
7,I was not expecting that to happen
8,"I will get back at you, you keep your eyes open"
9,"OMG, I can't believe this"
10,I was surprised by their actions
11,I am so happy that you are ok
12,I feel ecstatic
13,I feel so sorry for your loss
14,"I will kill you, you son of a bitch"
15,I was so afraid that something happened to you 
16,I feel soo great today
17,I did not imagine that it would happen that way
18,"Remember, I will come for you"
19,I am just happy for you
20,mehh!!
21,The old apple revels in its authority.
22,"Car safety systems have come a long way, but he was out to prove they could be outsmarted."
23,Nothing seemed out of place except the washing machine in the bar.
24,He went on a whiskey diet and immediately lost three days.
25,They throw cabbage that turns your brain into emotional baggage.
26,All they could see was the blue water surrounding their sailboat.
27,You should never take advice from someone who thinks red paint dries quicker than blue paint.
28,He dreamed of leaving his law firm to open a portable dog wash.
29,Andy loved to sleep on a bed of nails.
30,The team members were hard to tell apart since they all wore their hair in a ponytail.
31,Today we gathered moss for my uncle's wedding.
32,It was difficult for Mary to admit that most of her workout consisted of exercising poor judgment.
33,A suit of armor provides excellent sun protection on hot days.
34,Tom got a small piece of pie.
35,He was an introvert that extroverts seemed to love.
36,He was all business when he wore his clown suit.
37,Edith could decide if she should paint her teeth or brush her nails.
38,While on the first date he accidentally hit his head on the beam.
39,He figured a few sticks of dynamite were easier than a fishing pole to catch fish.
40,I'm worried by the fact that my daughter looks to the local carpet seller as a role model.
41,Be careful with that butter knife.
42,The small white buoys marked the location of hundreds of crab pots
43,I used to practice weaving with spaghetti three hours a day but stopped because I didn't want to die alone.
44,He kept telling himself that one day it would all somehow make sense.
45,The crowd yells and screams for more memes.
46,The ice-cream trucks bring back bad memories for all of us.
47,He decided to fake his disappearance to avoid jail.
48,The tour bus was packed with teenage girls heading toward their next adventure.
49,I was offended by the suggestion that my baby brother was a jewel thief.
50,"As time wore on, simple dog commands turned into full paragraphs explaining why the dog "
51,"The rusty nail stood erect, angled at a 45-degree angle, just waiting for the perfect barefoot to come along."
52,Now I need to ponder my existence and ask myself if I'm truly real
53,He had decided to accept his fate of accepting his fate.
54,Combines are no longer just for farms
55,They wandered into a strange Tiki bar on the edge of the small beach town.
56,Just because the water is red doesn't mean you can't drink it.
57,Stop waiting for exceptional things to just happen.
58,"At that moment he wasn't listening to music, he was living an experience."
59,With the high wind warning
60,He was the only member of the club who didn't like plum pudding.
